Month,Gasoline (Thousand bbls_d),Ethane (Thousand bbls_day),Propane (Thousand bbl_d),Jet Fuel (Thousand bbl_d)
05-Jan,6123,13,327,1552
05-Feb,6066,8,326,1576
05-Mar,5864,10,314,1541
05-Apr,6390,15,340,1638
05-May,6283,18,339,1631
05-Jun,6316,16,347,1701
05-Jul,6176,16,325,1585
05-Aug,6115,15,315,1590
05-Sep,5906,11,277,1368
05-Oct,5589,7,249,1337
05-Nov,6123,17,288,1520
05-Dec,6221,12,290,1515
06-Jan,6003,8,286,1515
06-Feb,5742,11,278,1438
06-Mar,5461,15,276,1461
06-Apr,5218,14,304,1447
06-May,5306,13,323,1435
06-Jun,5371,10,293,1493
06-Jul,5303,17,300,1540
06-Aug,5409,18,343,1485
06-Sep,5330,17,312,1511
06-Oct,4985,15,288,1490
06-Nov,5167,19,303,1422
06-Dec,5338,13,313,1529
07-Jan,5229,17,324,1480
07-Feb,4817,14,328,1421
07-Mar,4948,12,325,1403
07-Apr,4999,14,339,1368
07-May,5185,14,338,1451
07-Jun,5280,16,334,1459
07-Jul,5250,15,340,1484
07-Aug,5281,14,315,1470
07-Sep,5065,12,327,1436
07-Oct,4918,12,317,1446
07-Nov,5070,15,325,1463
07-Dec,5281,14,353,1489
08-Jan,5025,15,329,1535
08-Feb,4792,12,309,1467
08-Mar,4710,13,314,1475
08-Apr,4754,13,309,1492
08-May,4541,15,337,1558
08-Jun,4368,15,333,1605
08-Jul,4362,15,324,1647
08-Aug,4122,14,309,1609
08-Sep,3588,7,265,1312
08-Oct,4204,9,290,1401
08-Nov,4067,13,320,1425
08-Dec,4138,12,306,1383
09-Jan,3838,14,278,1420
09-Feb,3629,12,264,1402
09-Mar,3778,15,280,1374
09-Apr,3752,14,306,1428
09-May,3902,13,304,1381
09-Jun,4006,13,314,1405
09-Jul,3897,13,299,1515
09-Aug,3637,12,295,1395
09-Sep,3710,15,285,1402
09-Oct,3401,17,276,1297
09-Nov,3579,17,296,1316
09-Dec,3533,17,292,1467
10-Jan,3224,14,264,1355
10-Feb,3086,12,284,1346
10-Mar,3307,15,289,1381
10-Apr,3307,14,298,1475
10-May,3172,16,304,1452
10-Jun,3253,16,287,1495
10-Jul,3353,16,292,1550
10-Aug,3209,16,281,1470
10-Sep,3056,15,281,1417
10-Oct,2730,12,259,1336
10-Nov,2866,13,266,1410
10-Dec,2982,14,279,1439
11-Jan,2839,15,261,1372
11-Feb,2694,12,243,1313
11-Mar,2647,15,265,1446
11-Apr,2551,14,263,1426
11-May,2695,13,273,1482
11-Jun,2652,16,281,1570
11-Jul,2530,13,276,1553
11-Aug,2609,12,280,1548
11-Sep,2782,14,263,1564
11-Oct,2567,15,259,1397
11-Nov,2864,15,286,1371
11-Dec,2835,15,285,1454
12-Jan,2442,15,270,1443
12-Feb,2393,12,267,1407
12-Mar,2324,15,258,1415
12-Apr,2265,18,258,1436
12-May,2315,16,267,1471
12-Jun,2407,10,286,1612
12-Jul,2346,13,295,1618
12-Aug,2298,13,285,1566
12-Sep,2347,12,268,1456
12-Oct,2469,13,282,1427
12-Nov,2538,12,280,1387
12-Dec,2567,11,293,1491
13-Jan,2470,7,268,1417
13-Feb,2398,6,255,1410
13-Mar,2289,6,277,1469
13-Apr,2140,7,268,1531
13-May,2261,5,289,1455
13-Jun,2407,6,292,1530
13-Jul,2400,7,290,1564
13-Aug,2256,7,296,1615
13-Sep,2250,9,293,1555
13-Oct,2203,8,273,1447
13-Nov,2298,7,287,1505
13-Dec,2442,6,314,1598
14-Jan,2063,5,303,1489
14-Feb,2120,6,295,1470
14-Mar,2001,4,290,1431
14-Apr,2036,5,321,1507
14-May,1986,5,322,1480
14-Jun,1795,3,317,1531
14-Jul,1888,5,330,1648
14-Aug,1636,7,318,1685
14-Sep,1567,5,298,1628
14-Oct,1567,4,264,1497
14-Nov,1775,4,297,1584
14-Dec,1977,5,320,1675
15-Jan,1604,4,288,1529
15-Feb,1656,7,274,1536
15-Mar,1612,6,299,1507
15-Apr,1567,5,314,1600
15-May,1490,5,297,1617
15-Jun,1447,4,278,1645
15-Jul,1571,5,283,1674
15-Aug,1577,3,275,1604
15-Sep,1637,4,265,1556
15-Oct,1644,5,257,1559
15-Nov,1767,5,284,1642
15-Dec,1699,6,285,1702
16-Jan,1591,4,284,1581
16-Feb,1633,3,290,1579
16-Mar,1647,4,307,1574
16-Apr,1469,4,314,1592
16-May,1506,4,328,1605
16-Jun,1557,0,326,1660
