Sourcekey,WGFUPUS2,WKJUPUS2
Date,Weekly U.S. Finished Motor Gasoline  (Thousand Barrels per Day),Weekly U.S. Kerosene-Type Jet Fuel  (Thousand Barrels per Day)
08-Feb-91,6621,1466
15-Feb-91,6433,1226
22-Feb-91,6582,1332
01-Mar-91,7224,1514
08-Mar-91,6875,1402
15-Mar-91,6947,1252
22-Mar-91,7328,1324
29-Mar-91,6777,1259
05-Apr-91,7503,1322
12-Apr-91,6916,1184
19-Apr-91,7045,1276
26-Apr-91,6956,1242
03-May-91,6976,1242
10-May-91,7185,1151
17-May-91,6899,1262
24-May-91,7396,1096
31-May-91,7287,1157
07-Jun-91,7220,1325
14-Jun-91,7651,1318
21-Jun-91,7720,1041
28-Jun-91,7543,1373
05-Jul-91,7961,1227
12-Jul-91,7327,1509
19-Jul-91,7380,1223
26-Jul-91,7501,1394
02-Aug-91,7605,1270
09-Aug-91,7584,1494
16-Aug-91,7401,1303
23-Aug-91,7505,1272
30-Aug-91,7427,1314
06-Sep-91,6993,1395
13-Sep-91,7402,1245
20-Sep-91,7391,1266
27-Sep-91,7088,1221
04-Oct-91,6949,1364
11-Oct-91,7506,1387
18-Oct-91,7396,1403
25-Oct-91,7421,1387
01-Nov-91,7159,1306
08-Nov-91,7379,1250
15-Nov-91,7369,1335
22-Nov-91,6652,1682
29-Nov-91,6769,1127
06-Dec-91,6828,1372
13-Dec-91,7344,1464
20-Dec-91,7447,1580
27-Dec-91,7186,1172
03-Jan-92,6642,1358
10-Jan-92,6788,1534
17-Jan-92,6783,1351
24-Jan-92,7037,1395
31-Jan-92,7112,1558
07-Feb-92,7039,1433
14-Feb-92,6576,1387
21-Feb-92,7002,1256
28-Feb-92,6770,1177
06-Mar-92,7002,1332
13-Mar-92,6806,1203
20-Mar-92,7221,1141
27-Mar-92,7379,1127
03-Apr-92,7027,1393
10-Apr-92,7744,1372
17-Apr-92,6464,1415
24-Apr-92,7376,1283
01-May-92,7899,1281
08-May-92,7318,832
15-May-92,7174,1453
22-May-92,7086,1232
29-May-92,7774,1204
05-Jun-92,7104,1424
12-Jun-92,7129,1102
19-Jun-92,7407,1324
26-Jun-92,7701,1231
03-Jul-92,7572,1353
10-Jul-92,7813,1423
17-Jul-92,7422,1503
24-Jul-92,7792,1446
31-Jul-92,7433,1281
07-Aug-92,7796,1380
14-Aug-92,7700,1378
21-Aug-92,7365,1516
28-Aug-92,7814,1323
04-Sep-92,7326,1308
11-Sep-92,7473,1236
18-Sep-92,7181,1160
25-Sep-92,7286,1390
02-Oct-92,7293,1583
09-Oct-92,7514,1286
16-Oct-92,7204,1467
23-Oct-92,7276,1141
30-Oct-92,7509,1409
06-Nov-92,6923,1285
13-Nov-92,7056,1451
20-Nov-92,7240,1389
27-Nov-92,7138,1364
04-Dec-92,7432,1616
11-Dec-92,7354,1283
18-Dec-92,7400,1594
25-Dec-92,7596,1476
01-Jan-93,7358,1583
08-Jan-93,6852,1434
15-Jan-93,6726,1422
22-Jan-93,7131,1432
29-Jan-93,6603,1719
05-Feb-93,7322,1401
12-Feb-93,6779,1330
19-Feb-93,7325,1303
26-Feb-93,6961,1230
05-Mar-93,7188,1371
12-Mar-93,7100,1578
19-Mar-93,7239,1356
26-Mar-93,7194,1377
02-Apr-93,6964,1341
09-Apr-93,6797,1460
16-Apr-93,7561,1415
23-Apr-93,7392,1287
30-Apr-93,7470,1336
07-May-93,7657,1292
14-May-93,7649,1215
21-May-93,7295,1348
28-May-93,7364,1486
04-Jun-93,7018,1187
11-Jun-93,7740,1223
18-Jun-93,7392,1508
25-Jun-93,7804,1253
02-Jul-93,7868,1431
09-Jul-93,7578,1401
16-Jul-93,8113,1613
23-Jul-93,7916,1155
30-Jul-93,7336,1450
06-Aug-93,8033,1430
13-Aug-93,7581,1502
20-Aug-93,8187,1819
27-Aug-93,7629,1285
03-Sep-93,7386,1358
10-Sep-93,7889,1334
17-Sep-93,7478,1463
24-Sep-93,7485,1295
01-Oct-93,7387,1401
08-Oct-93,7276,1314
15-Oct-93,7613,1407
22-Oct-93,7704,1229
29-Oct-93,7788,1513
05-Nov-93,7640,1276
12-Nov-93,7552,1449
19-Nov-93,7992,1370
26-Nov-93,6845,1331
03-Dec-93,7430,1303
10-Dec-93,8074,1499
17-Dec-93,7684,1455
24-Dec-93,7411,1527
31-Dec-93,7567,1286
07-Jan-94,7124,1607
14-Jan-94,7124,1312
21-Jan-94,7157,1413
28-Jan-94,6321,1584
04-Feb-94,6953,1606
11-Feb-94,7487,1529
18-Feb-94,6993,1332
25-Feb-94,7372,1495
04-Mar-94,7286,1474
11-Mar-94,7214,1631
18-Mar-94,7521,1322
25-Mar-94,7481,1326
01-Apr-94,7398,1462
08-Apr-94,7187,1184
15-Apr-94,7720,1544
22-Apr-94,7042,1608
29-Apr-94,7892,1407
06-May-94,6824,1426
13-May-94,7552,1305
20-May-94,7938,1229
27-May-94,8028,1455
03-Jun-94,7461,1405
10-Jun-94,7770,1696
17-Jun-94,7650,1391
24-Jun-94,7909,1659
01-Jul-94,7930,1465
08-Jul-94,7562,1309
15-Jul-94,8006,1310
22-Jul-94,7523,1636
29-Jul-94,7581,1372
05-Aug-94,7638,1522
12-Aug-94,8187,1363
19-Aug-94,7836,1699
26-Aug-94,7750,1421
02-Sep-94,8061,1693
09-Sep-94,6955,1415
16-Sep-94,7601,1675
23-Sep-94,7763,1399
30-Sep-94,7733,1528
07-Oct-94,7515,1550
14-Oct-94,7562,1624
21-Oct-94,8143,1676
28-Oct-94,8204,1152
04-Nov-94,7432,1647
11-Nov-94,7377,1549
18-Nov-94,7929,1458
25-Nov-94,7431,1437
02-Dec-94,7593,1516
09-Dec-94,8229,1550
16-Dec-94,7933,1431
23-Dec-94,8278,1867
30-Dec-94,7718,1445
06-Jan-95,7134,1649
13-Jan-95,7534,1490
20-Jan-95,7260,1592
27-Jan-95,6976,1514
03-Feb-95,7267,1496
10-Feb-95,7132,1698
17-Feb-95,7398,1462
24-Feb-95,7670,1532
03-Mar-95,7194,1514
10-Mar-95,7548,1639
17-Mar-95,7834,1363
24-Mar-95,7797,1260
31-Mar-95,8195,1525
07-Apr-95,7588,1309
14-Apr-95,7543,1152
21-Apr-95,8156,1452
28-Apr-95,7731,1513
05-May-95,7539,1332
12-May-95,8052,1453
19-May-95,8183,1468
26-May-95,7797,1390
02-Jun-95,8460,1247
09-Jun-95,8055,1407
16-Jun-95,7971,1544
23-Jun-95,8489,1307
30-Jun-95,8238,1535
07-Jul-95,7996,1412
14-Jul-95,7866,1419
21-Jul-95,8483,1591
28-Jul-95,8213,1571
04-Aug-95,8402,1400
11-Aug-95,7628,1615
18-Aug-95,8411,1457
25-Aug-95,8206,1614
01-Sep-95,7825,1561
08-Sep-95,8078,1577
15-Sep-95,8249,1423
22-Sep-95,7821,1671
29-Sep-95,7257,1677
06-Oct-95,8106,1199
13-Oct-95,7879,1677
20-Oct-95,7712,1682
27-Oct-95,8103,1571
03-Nov-95,7449,1678
10-Nov-95,8477,1538
17-Nov-95,8021,1633
24-Nov-95,7840,1578
01-Dec-95,7439,1318
08-Dec-95,7949,1651
15-Dec-95,7489,1492
22-Dec-95,8115,1638
29-Dec-95,7035,1620
05-Jan-96,7958,1894
12-Jan-96,7513,1578
19-Jan-96,6949,1633
26-Jan-96,7393,1772
02-Feb-96,7513,1695
09-Feb-96,7520,1555
16-Feb-96,7868,1750
23-Feb-96,7826,1524
01-Mar-96,7338,1761
08-Mar-96,7877,1562
15-Mar-96,7757,1550
22-Mar-96,7900,1654
29-Mar-96,7568,1515
05-Apr-96,7280,1586
12-Apr-96,7804,1509
19-Apr-96,7433,1453
26-Apr-96,8079,1420
03-May-96,7592,1313
10-May-96,8267,1374
17-May-96,7512,1559
24-May-96,8080,1462
31-May-96,7836,1575
07-Jun-96,7946,1327
14-Jun-96,7957,1550
21-Jun-96,7956,1559
28-Jun-96,8563,1466
05-Jul-96,8015,1474
12-Jul-96,7968,1479
19-Jul-96,8152,1600
26-Jul-96,8067,1459
02-Aug-96,8279,1682
09-Aug-96,7722,1452
16-Aug-96,7818,1736
23-Aug-96,8364,1488
30-Aug-96,8369,1761
06-Sep-96,7843,1466
13-Sep-96,7537,1786
20-Sep-96,8000,1541
27-Sep-96,7619,1606
04-Oct-96,7935,1741
11-Oct-96,7637,1584
18-Oct-96,7958,1627
25-Oct-96,7991,1691
01-Nov-96,7682,1694
08-Nov-96,7804,1727
15-Nov-96,8073,1684
22-Nov-96,7883,1560
29-Nov-96,7370,1505
06-Dec-96,7706,1705
13-Dec-96,8355,1601
20-Dec-96,8051,1714
27-Dec-96,7740,1872
03-Jan-97,7122,1685
10-Jan-97,7440,1520
17-Jan-97,7408,1689
24-Jan-97,7265,1527
31-Jan-97,7125,1866
07-Feb-97,7013,1618
14-Feb-97,7530,1482
21-Feb-97,8011,1572
28-Feb-97,7779,1638
07-Mar-97,7417,1722
14-Mar-97,8125,1419
21-Mar-97,7729,1475
28-Mar-97,7492,1522
04-Apr-97,8115,1566
11-Apr-97,7791,1450
18-Apr-97,7914,1590
25-Apr-97,7922,1578
02-May-97,8224,1511
09-May-97,7765,1455
16-May-97,8253,1509
23-May-97,8088,1667
30-May-97,8154,1593
06-Jun-97,7590,1421
13-Jun-97,8009,1591
20-Jun-97,8557,1708
27-Jun-97,8234,1737
04-Jul-97,8489,1738
11-Jul-97,8606,1317
18-Jul-97,8595,1658
25-Jul-97,8600,1579
01-Aug-97,8290,1881
08-Aug-97,8253,1630
15-Aug-97,8539,1583
22-Aug-97,7922,1629
29-Aug-97,8695,1881
05-Sep-97,8053,1440
12-Sep-97,8215,1673
19-Sep-97,7746,1787
26-Sep-97,8140,1449
