,month,unique_carrier,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
1,1,0WQ,1,0,0,0,0,0,0,163052.0,47060,210112.0,0,0,0,0,0,0,396216,140239,536455,2016
2,1,23Q,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2016
3,1,27Q,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2016
4,1,5V,1,260848,0,0,0,0,260848,284362.0,0,284362.0,522405,0,0,0,0,522405,569497,0,569497,2016
5,1,5X,3,32138000,9743000,16116000,2972000,28831000,60969000,32138000.0,28831000,60969000.0,34098000,9752000,17965000,3524000,31241000,65339000,34098000,31241000,65339000,2016
6,1,5Y,3,0,0,0,0,0,0,4850893.0,19958297,24809190.0,0,0,0,0,0,0,8575368,35795479,44370847,2016
7,1,8C,2,0,0,0,0,0,0,24211.0,725041,749252.0,0,0,0,0,0,0,42347,1855154,1897501,2016
8,1,9E,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2016
9,1,9S,2,821638,4696010,580875,0,5276885,6098523,821638.0,5276885,6098523.0,1725440,9861621,1219839,0,11081460,12806900,1725440,11081460,12806900,2016
10,1,AA,3,174110023,34804210,18848029,54176666,107828905,281938928,174766325.0,107982308,282748633.0,195098544,34536551,18632951,68174028,121343530,316442074,195806362,121537723,317344085,2016
11,1,ABX,2,193054,0,0,0,0,193054,193054.0,0,193054.0,461092,0,0,0,0,461092,461092,0,461092,2016
12,1,AS,3,36507433,0,0,1070108,1070108,37577541,36597369.0,1070108,37667477.0,45727266,0,0,1324811,1324811,47052077,45827760,1324811,47152571,2016
13,1,B6,3,48414077,0,0,12141747,12141747,60555824,48414077.0,12209631,60623708.0,56262137,0,0,14109959,14109959,70372096,56262137,14275362,70537499,2016
14,1,CP,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2016
15,1,DL,3,137682215,51147892,38502896,30606142,120256930,257939145,139317615.0,120833633,260151248.0,187259219,69565371,52367129,41626889,163559389,350818608,190375249,164343753,354719002,2016
16,1,EE,1,0,0,0,0,0,0,153520.0,221520,375040.0,0,0,0,0,0,0,202646,292406,495052,2016
17,1,EV,3,81827,0,0,0,0,81827,81827.0,0,81827.0,159104,0,0,0,0,159104,159104,0,159104,2016
18,1,F9,3,14431035,0,0,1659053,1659053,16090088,14496478.0,1659053,16155531.0,14466443,0,0,1912704,1912704,16379147,14532960,1912704,16445664,2016
19,1,FX,3,56549784,11101514,18643661,898730,30643905,87193689,57475790.0,31238131,88713921.0,58229000,12100000,22567000,1246000,35913000,94142000,59236000,37262000,96498000,2016
