,identifier1,departures_performed,payload,passengers,freight,distance,air_time,unique_carrier,origin,dest,aircraft_type,distance_group
0,9E-ABE-ATL,4.0,50000.0,175.0,0.0,692.0,436.0,9E,ABE,ATL,629,2
1,9E-ABE-DTW,3.0,37500.0,96.0,0.0,425.0,233.0,9E,ABE,DTW,629,1
2,9E-ABY-ATL,40.0,504501.0,1338.5,0.0,145.0,1480.5,9E,ABY,ATL,638,1
3,9E-AEX-ATL,102.5,1281250.0,3578.5,0.0,500.0,7373.5,9E,AEX,ATL,629,2
4,9E-AGS-ATL,20.0,430040.0,1384.0,0.0,143.0,708.0,9E,AGS,ATL,629,1
5,9E-ALB-ATL,1.0,21502.0,57.0,0.0,853.0,132.0,9E,ALB,ATL,638,2
6,9E-ALB-BDL,1.0,21502.0,54.0,0.0,80.0,22.0,9E,ALB,BDL,638,1
7,9E-ALB-BTV,1.0,12500.0,12.0,0.0,123.0,26.0,9E,ALB,BTV,629,1
8,9E-ALB-DTW,20.0,250000.0,791.0,1.0,489.0,1631.0,9E,ALB,DTW,638,1
9,9E-ALB-MSP,3.0,64506.0,195.0,0.0,980.0,497.0,9E,ALB,MSP,638,2
10,9E-ATL-ABE,20.0,428689.0,1282.5,0.0,692.0,1865.0,9E,ATL,ABE,631,2
11,9E-ATL-ABY,40.0,504501.0,1327.5,0.0,145.0,1222.0,9E,ATL,ABY,638,1
12,9E-ATL-AEX,102.0,1275000.0,3784.0,0.0,500.0,8232.0,9E,ATL,AEX,629,2
13,9E-ATL-AGS,18.0,387036.0,1165.0,0.0,143.0,546.0,9E,ATL,AGS,629,1
14,9E-ATL-ALB,1.0,21502.0,69.0,0.0,853.0,105.0,9E,ATL,ALB,638,2
15,9E-ATL-ATW,25.0,537550.0,1681.0,0.0,765.0,2645.0,9E,ATL,ATW,638,2
16,9E-ATL-AVL,3.5,46502.0,131.5,0.0,164.0,111.5,9E,ATL,AVL,629,1
