,date_orig_id,AWND,PRCP,SNOW,SNWD,TAVG
0,2020-01-01-DFW,59.0,0.0,0.0,0.0,85.0
1,2020-01-01-CLE,72.0,0.0,0.0,0.0,14.0
2,2020-01-01-MCO,26.0,0.0,0.0,0.0,157.0
3,2020-01-01-MIA,19.0,0.0,0.0,0.0,212.0
4,2020-01-01-TPA,24.0,0.0,0.0,0.0,169.0
5,2020-01-01-FLL,21.0,0.0,0.0,0.0,198.0
6,2020-01-01-MSY,26.0,5.0,0.0,0.0,131.0
7,2020-01-01-HOU,34.0,69.0,0.0,0.0,132.0
8,2020-01-01-SAT,14.0,0.0,0.0,0.0,114.0
9,2020-01-01-IAH,29.0,25.0,0.0,0.0,111.0
10,2020-01-01-RDU,20.0,0.0,0.0,0.0,74.0
11,2020-01-01-DCA,36.0,0.0,0.0,0.0,77.0
12,2020-01-01-ATL,32.0,0.0,0.0,0.0,71.0
13,2020-01-01-CLT,23.0,0.0,0.0,0.0,72.0
14,2020-01-01-BNA,27.0,0.0,0.0,0.0,57.0
15,2020-01-01-AUS,22.0,0.0,0.0,0.0,120.0
16,2020-01-01-DAL,40.0,0.0,0.0,0.0,95.0
17,2020-01-01-MCI,55.0,0.0,0.0,0.0,56.0
18,2020-01-01-STL,46.0,0.0,0.0,0.0,53.0
19,2020-01-01-LGA,71.0,0.0,0.0,0.0,43.0
20,2020-01-01-EWR,61.0,0.0,0.0,0.0,42.0
21,2020-01-01-BOS,69.0,0.0,0.0,0.0,41.0
22,2020-01-01-MKE,49.0,0.0,0.0,30.0,-37.0
23,2020-01-01-MSP,31.0,0.0,0.0,130.0,-64.0
24,2020-01-01-HNL,28.0,0.0,0.0,0.0,244.0
25,2020-01-01-LAS,34.0,0.0,0.0,0.0,33.5
26,2020-01-01-LAX,25.0,0.0,0.0,0.0,159.0
27,2020-01-01-PHX,17.0,0.0,0.0,0.0,102.0
28,2020-01-01-SAN,17.0,0.0,0.0,0.0,140.0
29,2020-01-01-OAK,21.0,0.0,0.0,0.0,111.0
30,2020-01-01-SFO,64.0,0.0,0.0,0.0,117.0
31,2020-01-01-SJC,29.0,0.0,0.0,0.0,106.0
32,2020-01-01-SLC,42.0,43.0,38.0,0.0,1.0
33,2020-01-01-PDX,33.0,38.0,0.0,0.0,108.0
34,2020-01-01-SEA,64.0,0.0,0.0,0.0,106.0
35,2020-01-01-IND,38.0,0.0,0.0,0.0,36.5
36,2020-01-01-RSW,14.0,0.0,0.0,0.0,102.5
37,2020-01-01-DEN,51.0,0.0,0.0,0.0,39.5
38,2020-01-01-SNA,17.0,0.0,0.0,0.0,147.0
39,2020-01-01-SMF,17.0,0.0,0.0,0.0,94.5
40,2020-01-01-BWI,44.0,0.0,0.0,0.0,70.0
41,2020-01-01-IAD,29.0,0.0,0.0,0.0,61.0
42,2020-01-01-CVG,44.0,0.0,0.0,0.0,33.0
43,2020-01-01-CMH,10.0,0.0,0.0,0.0,78.0
44,2020-01-01-PHL,42.0,0.0,0.0,0.0,23.0
45,2020-01-01-JFK,79.0,0.0,0.0,0.0,43.0
46,2020-01-01-PIT,37.0,8.0,0.0,30.0,-1.0
47,2020-01-01-ORD,53.0,0.0,0.0,0.0,-21.0
48,2020-01-01-DTW,56.0,0.0,0.0,30.0,-11.0
49,2020-01-02-DFW,48.0,0.0,0.0,0.0,125.0
50,2020-01-02-CLE,75.0,0.0,0.0,0.0,69.5
51,2020-01-02-MCO,29.0,0.0,0.0,0.0,184.0
52,2020-01-02-MIA,33.0,0.0,0.0,0.0,224.0
53,2020-01-02-TPA,35.0,0.0,0.0,0.0,203.0
54,2020-01-02-FLL,43.0,0.0,0.0,0.0,222.0
55,2020-01-02-MSY,55.0,89.0,0.0,0.0,201.0
56,2020-01-02-HOU,23.0,10.0,0.0,0.0,163.0
57,2020-01-02-SAT,13.0,0.0,0.0,0.0,125.0
58,2020-01-02-IAH,16.0,53.0,0.0,0.0,154.0
59,2020-01-02-RDU,32.0,25.0,0.0,0.0,71.0
60,2020-01-02-DCA,22.0,0.0,0.0,0.0,48.0
61,2020-01-02-ATL,30.0,234.0,0.0,0.0,85.0
62,2020-01-02-CLT,26.0,97.0,0.0,0.0,74.0
63,2020-01-02-BNA,43.0,312.0,0.0,0.0,94.0
64,2020-01-02-AUS,22.0,5.0,0.0,0.0,126.0
65,2020-01-02-DAL,36.0,0.0,0.0,0.0,134.0
66,2020-01-02-MCI,32.0,0.0,0.0,0.0,72.0
67,2020-01-02-STL,32.0,0.0,0.0,0.0,89.0
68,2020-01-02-LGA,36.0,0.0,0.0,0.0,43.0
69,2020-01-02-EWR,33.0,0.0,0.0,0.0,25.0
70,2020-01-02-BOS,56.0,0.0,0.0,0.0,42.0
71,2020-01-02-MKE,51.0,0.0,0.0,0.0,55.0
72,2020-01-02-MSP,34.0,0.0,0.0,130.0,13.0
73,2020-01-02-HNL,32.0,3.0,0.0,0.0,239.0
74,2020-01-02-LAS,39.0,0.0,0.0,0.0,-19.0
75,2020-01-02-LAX,21.0,0.0,0.0,0.0,144.0
76,2020-01-02-PHX,17.0,0.0,0.0,0.0,106.0
77,2020-01-02-SAN,15.0,0.0,0.0,0.0,151.0
78,2020-01-02-OAK,14.0,0.0,0.0,0.0,106.0
79,2020-01-02-SFO,26.0,0.0,0.0,0.0,120.0
80,2020-01-02-SJC,20.0,0.0,0.0,0.0,116.5
81,2020-01-02-SLC,14.0,3.0,0.0,0.0,23.0
82,2020-01-02-PDX,33.0,10.0,0.0,0.0,82.0
83,2020-01-02-SEA,41.0,53.0,0.0,0.0,73.0
84,2020-01-02-IND,36.0,25.0,0.0,0.0,83.0
85,2020-01-02-RSW,57.0,0.0,0.0,0.0,177.5
86,2020-01-02-DEN,18.0,0.0,0.0,0.0,23.0
87,2020-01-02-SNA,15.0,0.0,0.0,0.0,147.0
88,2020-01-02-SMF,30.0,0.0,0.0,0.0,97.5
89,2020-01-02-BWI,10.0,0.0,0.0,0.0,27.0
90,2020-01-02-IAD,23.0,0.0,0.0,0.0,16.0
91,2020-01-02-CVG,42.0,117.0,0.0,0.0,56.0
92,2020-01-02-CMH,20.0,64.0,0.0,0.0,127.5
93,2020-01-02-PHL,17.0,0.0,0.0,0.0,31.0
94,2020-01-02-JFK,43.0,0.0,0.0,0.0,33.0
95,2020-01-02-PIT,35.0,20.0,0.0,0.0,24.0
96,2020-01-02-ORD,52.0,0.0,0.0,0.0,54.0
97,2020-01-02-DTW,64.0,0.0,0.0,0.0,41.0
98,2020-01-03-DFW,56.0,0.0,0.0,0.0,106.0
99,2020-01-03-CLE,21.0,25.0,0.0,0.0,69.0
100,2020-01-03-MCO,38.0,0.0,0.0,0.0,228.0
101,2020-01-03-MIA,43.0,0.0,0.0,0.0,255.0
102,2020-01-03-TPA,47.0,0.0,0.0,0.0,231.0
103,2020-01-03-FLL,51.0,0.0,0.0,0.0,253.0
104,2020-01-03-MSY,31.0,470.0,0.0,0.0,186.0
105,2020-01-03-HOU,38.0,0.0,0.0,0.0,164.0
106,2020-01-03-SAT,46.0,0.0,0.0,0.0,128.0
107,2020-01-03-IAH,27.0,0.0,0.0,0.0,160.0
108,2020-01-03-RDU,16.0,389.0,0.0,0.0,100.0
109,2020-01-03-DCA,27.0,64.0,0.0,0.0,101.0
110,2020-01-03-ATL,26.0,246.0,0.0,0.0,131.0
111,2020-01-03-CLT,13.0,132.0,0.0,0.0,92.0
112,2020-01-03-BNA,18.0,99.0,0.0,0.0,126.0
113,2020-01-03-AUS,30.0,0.0,0.0,0.0,114.0
114,2020-01-03-DAL,47.0,0.0,0.0,0.0,117.0
115,2020-01-03-MCI,38.0,0.0,0.0,0.0,44.5
116,2020-01-03-STL,31.0,0.0,0.0,0.0,64.0
117,2020-01-03-LGA,21.0,36.0,0.0,0.0,81.0
118,2020-01-03-EWR,28.0,28.0,0.0,0.0,74.0
119,2020-01-03-BOS,32.0,0.0,0.0,0.0,82.0
120,2020-01-03-MKE,30.0,0.0,0.0,0.0,28.0
121,2020-01-03-MSP,27.0,0.0,0.0,100.0,3.0
122,2020-01-03-HNL,56.0,38.0,0.0,0.0,240.0
123,2020-01-03-LAS,30.0,0.0,0.0,0.0,-13.0
124,2020-01-03-LAX,20.0,0.0,0.0,0.0,156.0
125,2020-01-03-PHX,12.0,0.0,0.0,0.0,111.0
126,2020-01-03-SAN,11.0,0.0,0.0,0.0,151.0
127,2020-01-03-OAK,17.0,0.0,0.0,0.0,102.5
128,2020-01-03-SFO,16.0,0.0,0.0,0.0,111.0
129,2020-01-03-SJC,11.0,0.0,0.0,0.0,125.0
130,2020-01-03-SLC,36.0,0.0,0.0,0.0,32.0
131,2020-01-03-PDX,51.0,30.0,0.0,0.0,102.0
